CRC;Date;Time;Latitude;Longitude;Fix
OK;10/05/2023;16:02:08;4,8884354;-52,2913933;3D
OK;10/05/2023;17:01:52;4,8884606;-52,2914162;3D
OK;10/05/2023;18:01:36;4,8883839;-52,2913666;3D
OK;20/05/2023;00:02:08;4,6603904;-52,1543808;3D
OK;20/05/2023;01:01:52;4,6603394;-52,1543541;3D
OK;20/05/2023;02:01:36;4,6602879;-52,1543808;3D
OK(corrected);20/05/2023;02:44:16;42,1321335;-45,4305153;2D
OK;20/05/2023;03:01:20;4,6600833;-52,1544838;2D
OK;20/05/2023;04:01:04;4,6604161;-52,1544304;3D
OK;20/05/2023;05:00:48;4,6603136;-52,1543541;3D
OK;20/05/2023;06:00:32;4,6603136;-52,1543312;3D
OK;20/05/2023;07:00:16;4,6603136;-52,1543808;3D
OK;20/05/2023;08:00:00;4,6287742;-52,148262;3D
OK;20/05/2023;08:59:44;4,6287742;-52,1482353;3D
OK;20/05/2023;09:59:28;4,6289024;-52,1482353;3D
OK;20/05/2023;10:59:12;4,6288514;-52,1481361;3D
OK;20/05/2023;12:58:40;4,6289282;-52,1482887;3D
OK;20/05/2023;14:02:40;4,6289282;-52,1482353;3D
OK;20/05/2023;15:02:24;4,6288767;-52,1482887;3D
OK;20/05/2023;16:02:08;4,6289282;-52,148262;3D
OK;20/05/2023;17:01:52;4,6288767;-52,148262;3D
OK;20/05/2023;18:01:36;4,6289535;-52,1482887;2D
OK;20/05/2023;19:01:20;4,6288514;-52,1482353;3D
OK;20/05/2023;20:01:04;4,6287489;-52,1484146;3D
OK;20/05/2023;22:00:32;4,6288257;-52,1473427;3D
OK;20/05/2023;23:00:16;4,6288257;-52,1473656;3D
OK(corrected);21/05/2023;00:00:00;4,6287999;-52,1475182;3D
OK(corrected);21/05/2023;00:59:44;4,6287999;-52,1474419;3D
OK;21/05/2023;02:59:12;4,6287999;-52,1474419;3D
OK;21/05/2023;03:58:56;4,6288767;-52,1474953;3D
OK;21/05/2023;04:58:40;4,6288514;-52,1474419;3D
OK;21/05/2023;06:02:40;4,6287742;-52,1476212;3D
OK;21/05/2023;07:02:24;4,6288257;-52,1474419;3D
OK;21/05/2023;08:02:08;4,6287999;-52,147419;3D
OK;21/05/2023;10:01:36;4,6289282;-52,1474953;3D
OK;21/05/2023;11:01:20;4,6288767;-52,1473427;3D
OK;21/05/2023;12:01:04;4,6287742;-52,1473923;3D
OK;21/05/2023;13:00:48;4,6286206;-52,1472626;2D
OK;21/05/2023;14:00:32;4,6286464;-52,1473656;3D
OK;21/05/2023;15:00:16;4,6286464;-52,147419;2D
OK;21/05/2023;16:00:00;4,6285439;-52,1472626;3D
OK;21/05/2023;17:59:28;4,6275458;-52,1473656;2D
OK;21/05/2023;20:03:12;4,6276736;-52,1467247;3D
OK;21/05/2023;20:58:40;4,6277504;-52,1467247;3D
OK;21/05/2023;22:02:40;4,628211;-52,1467781;3D
OK;21/05/2023;23:02:24;4,6273918;-52,147316;3D
OK;22/05/2023;00:02:08;4,6282625;-52,14711;3D
OK;22/05/2023;02:01:36;4,6280322;-52,1470604;3D
OK;22/05/2023;03:01:20;4,62816;-52,1469841;3D
OK;22/05/2023;04:01:04;4,5912447;-52,1073799;3D
OK;22/05/2023;05:00:48;4,5912447;-52,1074295;3D
OK;22/05/2023;06:00:32;4,5911937;-52,1074295;3D
OK;22/05/2023;07:00:16;4,5912194;-52,1074066;3D
OK;22/05/2023;08:00:00;4,5652094;-52,0757637;3D
OK;22/05/2023;08:59:44;4,5609856;-52,0727692;3D
OK;22/05/2023;09:59:28;4,5610366;-52,0726128;3D
OK;22/05/2023;10:59:12;4,5609856;-52,0724869;3D
OK;22/05/2023;14:02:40;4,5609088;-52,0726395;3D
OK;22/05/2023;15:02:24;4,5608063;-52,0723076;3D
OK;22/05/2023;18:01:36;4,5607295;-52,0720253;2D
OK;22/05/2023;19:01:20;4,5599871;-52,0719223;2D
OK;22/05/2023;20:01:04;4,5601406;-52,0717964;2D
OK;22/05/2023;21:00:48;4,5600896;-52,0718727;3D
OK;22/05/2023;22:00:32;4,5595775;-52,0718193;3D
OK;22/05/2023;23:00:16;4,5595522;-52,071846;3D
OK;23/05/2023;00:00:00;4,559731;-52,0719223;3D
OK;23/05/2023;00:59:44;4,5595522;-52,071743;3D
OK;23/05/2023;01:59:28;4,5594497;-52,0718193;3D
OK;23/05/2023;02:59:12;4,55968;-52,071846;3D
OK;23/05/2023;03:58:56;4,5301118;-52,0020866;3D
OK;23/05/2023;04:58:40;4,5133696;-51,9183235;3D
OK;23/05/2023;06:02:40;4,5133438;-51,9182968;3D
OK;23/05/2023;07:02:24;4,5225854;-51,8247299;3D
OK;23/05/2023;08:02:08;4,5225854;-51,8247566;3D
OK;23/05/2023;09:01:52;4,5206656;-51,823349;3D
OK;23/05/2023;11:01:20;4,5214591;-51,8235016;2D
OK;23/05/2023;12:01:04;4,5213056;-51,8235779;3D
OK;23/05/2023;13:00:48;4,5213823;-51,8236275;3D
OK;23/05/2023;14:00:32;4,5213823;-51,8236275;2D
OK;23/05/2023;15:00:16;4,5213823;-51,8239861;3D
OK;23/05/2023;16:00:00;4,521101;-51,8239861;2D
OK;23/05/2023;16:59:44;4,521152;-51,8239861;3D
OK;23/05/2023;17:59:28;4,5211778;-51,8240395;3D
OK;23/05/2023;18:59:12;4,5210495;-51,8241425;3D
OK;23/05/2023;22:02:40;4,5206914;-51,82304;3D
OK;24/05/2023;00:02:08;4,5203838;-51,8225784;3D
OK;24/05/2023;01:01:52;4,5204353;-51,8225784;3D
OK;24/05/2023;02:01:36;4,5203838;-51,8225784;3D
OK;24/05/2023;03:01:20;4,5203838;-51,8225784;3D
OK;24/05/2023;04:01:04;4,5203838;-51,8225517;3D
OK;24/05/2023;05:00:48;4,5203838;-51,8225517;3D
OK;24/05/2023;06:00:32;4,5203586;-51,8225784;3D
OK;24/05/2023;07:00:16;4,5203838;-51,8225517;3D
OK;24/05/2023;08:00:00;4,5203838;-51,8225517;3D
OK;24/05/2023;08:59:44;4,5199232;-51,821991;2D
OK;24/05/2023;09:59:28;4,5207167;-51,8225517;3D
OK;24/05/2023;10:59:12;4,5208449;-51,8226547;3D
OK;24/05/2023;12:03:12;4,5213566;-51,8236542;2D
OK;24/05/2023;13:02:56;4,520896;-51,8227081;2D
OK;24/05/2023;14:02:40;4,5208449;-51,8225784;2D
OK;24/05/2023;18:01:36;4,5206399;-51,8223495;2D
OK;24/05/2023;19:01:20;4,5207424;-51,8222198;2D
OK;24/05/2023;21:00:48;4,5208702;-51,821682;3D
OK;24/05/2023;22:00:32;4,5204864;-51,8212471;3D
OK;24/05/2023;23:00:16;4,52;-51,8204269;3D
OK;25/05/2023;00:00:00;4,519949;-51,8204536;3D
OK;25/05/2023;00:59:44;4,5199232;-51,8204536;3D
OK;25/05/2023;01:59:28;4,5198975;-51,8204041;3D
OK;25/05/2023;02:59:12;4,519949;-51,8203773;3D
OK;25/05/2023;03:58:56;4,5199232;-51,8204041;3D
OK;25/05/2023;04:58:40;4,5199232;-51,820507;3D
OK;25/05/2023;06:02:40;4,519949;-51,8204041;3D
OK;25/05/2023;07:02:24;4,5199742;-51,8204536;3D
OK;25/05/2023;08:02:08;4,5198975;-51,8204041;3D
OK;25/05/2023;09:01:52;4,5200768;-51,820507;3D
OK;25/05/2023;11:01:20;4,5201793;-51,8206863;3D
OK;25/05/2023;22:02:40;4,5185666;-51,8200188;3D
OK;25/05/2023;23:02:24;4,5186944;-51,8196602;3D
OK;26/05/2023;00:02:08;4,5187201;-51,8196106;3D
OK;26/05/2023;01:01:52;4,5187454;-51,8196335;3D
OK;26/05/2023;02:01:36;4,5187454;-51,8196335;3D
OK;26/05/2023;03:01:20;4,5187201;-51,8197136;3D
OK;26/05/2023;04:01:04;4,5187201;-51,8196335;3D
OK;26/05/2023;05:00:48;4,5186944;-51,8196106;3D
OK;26/05/2023;06:00:32;4,5187712;-51,8196106;3D
OK;26/05/2023;07:00:16;4,5187454;-51,8196602;3D
OK;26/05/2023;08:00:00;4,5187201;-51,8196335;3D
OK;26/05/2023;11:58:56;4,521997;-51,8212471;3D
OK;26/05/2023;13:02:56;4,5221505;-51,8214531;2D
OK;26/05/2023;14:02:40;4,5223041;-51,8212242;2D
OK;26/05/2023;17:01:52;4,521997;-51,8208885;3D
OK;26/05/2023;18:01:36;4,5218687;-51,8211708;2D
OK;26/05/2023;19:01:20;4,5217152;-51,8207359;3D
OK;26/05/2023;20:01:04;4,5217152;-51,8207092;3D
OK;26/05/2023;21:00:48;4,5217152;-51,8206863;3D
OK;26/05/2023;22:00:32;4,520896;-51,8196869;3D
OK;26/05/2023;23:00:16;4,5209217;-51,8196869;3D
OK;27/05/2023;00:00:00;4,5209217;-51,8196869;3D
OK;27/05/2023;01:59:28;4,520947;-51,8196602;3D
OK;27/05/2023;02:59:12;4,5209217;-51,8196106;3D
OK;27/05/2023;03:58:56;4,520896;-51,8196335;3D
OK;27/05/2023;04:58:40;4,5209217;-51,8196106;3D
OK;27/05/2023;06:02:40;4,5209217;-51,8196106;3D
OK;27/05/2023;07:02:24;4,5207424;-51,8196335;3D
OK;27/05/2023;08:02:08;4,5210242;-51,8196602;3D
OK;27/05/2023;09:01:52;4,5314946;-51,821682;3D
OK;27/05/2023;10:01:36;4,5311871;-51,821579;3D
OK;27/05/2023;11:01:20;4,5310335;-51,8217087;3D
OK;27/05/2023;12:01:04;4,5310593;-51,821785;3D
OK;27/05/2023;13:00:48;4,5308542;-51,8212471;3D
OK;27/05/2023;14:00:32;4,531085;-51,8217583;3D
OK;27/05/2023;15:00:16;4,5309567;-51,8216591;2D
OK;27/05/2023;16:00:00;4,530931;-51,8217087;3D
OK;27/05/2023;17:59:28;4,5310078;-51,8217087;3D
OK;27/05/2023;18:59:12;4,5309567;-51,8217087;2D
OK;27/05/2023;20:03:12;4,53088;-51,821579;2D
OK;27/05/2023;22:02:40;4,531085;-51,821785;3D
OK(corrected);27/05/2023;22:02:40;4,4262271;-51,9200897;3D
OK;27/05/2023;23:02:24;4,5311618;-51,8218117;3D
OK;28/05/2023;01:01:52;4,531085;-51,8218613;3D
OK;28/05/2023;02:01:36;4,5312128;-51,8215561;3D
OK;28/05/2023;03:01:20;4,5312386;-51,8217583;3D
OK;28/05/2023;04:01:04;4,5311871;-51,8215561;3D
OK;28/05/2023;05:00:48;4,5311871;-51,8215294;3D
OK;28/05/2023;06:00:32;4,5311618;-51,821579;3D
OK;28/05/2023;07:00:16;4,531136;-51,8216324;3D
OK;28/05/2023;08:00:00;4,5312386;-51,8214531;3D
OK;28/05/2023;08:59:44;4,5318527;-51,8240891;3D
OK;28/05/2023;10:59:12;4,531981;-51,8242416;3D
OK;28/05/2023;11:58:56;4,5322366;-51,8243446;3D
OK;28/05/2023;16:02:08;4,5325184;-51,8243217;3D
OK;28/05/2023;18:01:36;4,5324926;-51,8242188;2D
OK;28/05/2023;19:01:20;4,5324159;-51,8242683;3D
OK;28/05/2023;20:01:04;4,5324674;-51,8242416;3D
OK;28/05/2023;22:00:32;4,5327744;-51,8245239;3D
OK;28/05/2023;23:00:16;4,5325694;-51,8244743;3D
OK(corrected);14/07/2023;11:56:48;4,5209217;-51,8131332;3D
OK(corrected);23/10/2023;23:55:44;4,5199742;-105,0881119;3D
Fail;13/06/2006;20:45:52;4,4152193;-51,8221436;3D
Fail;01/10/2009;00:29:52;-141,2141724;149,6023407;3D
Fail;04/01/2016;00:29:52;207,6418762;-25,215168;2D
Fail;19/02/2019;20:20:16;58,2097778;-37,9835281;3D
Fail;20/02/2019;03:18:24;4,5217919;-51,8236275;2D
Fail;17/04/2021;12:39:28;-88,8746109;-51,0329475;3D
Fail;22/05/2023;20:01:04;4,5568128;-52,0980873;3D
Fail;22/05/2023;22:00:32;4,3465858;-52,0717201;3D
Fail;24/05/2023;00:44:48;-25,6678009;1,8655103;3D
Fail;24/05/2023;03:01:20;4,5203838;-53,5527306;3D
Fail;24/05/2023;04:18:08;4,5138302;-51,8225517;3D
Fail;24/05/2023;05:00:48;11,2312708;-51,8219376;3D
Fail;25/05/2023;08:02:08;4,5723519;-51,8136444;3D
Fail;25/05/2023;09:10:24;4,5135231;-51,820507;3D
Fail;26/05/2023;20:43:44;1,1654783;161,2509613;3D
Fail;27/05/2023;06:02:40;4,5209217;-51,8130569;3D
Fail;27/05/2023;09:01:52;-71,602417;-71,6876144;3D
Fail;27/05/2023;12:01:04;-0,0000128;-50,3316612;3D
Fail;27/05/2023;14:00:32;4,5837183;-51,8217583;3D
Fail;02/06/2023;05:37:04;4,9403262;-48,4641914;3D
Fail;08/07/2025;08:21:20;4,5217919;-105,5110779;3D
Fail;28/11/2031;04:26:40;4,5178752;-51,8196335;3D
Fail;19/02/2032;03:16:16;-190,8654938;-95,4415207;2D
Fail;17/12/2032;14:17:36;4,5314946;-51,821682;3D
Fail;22/02/2044;06:15:28;15,6683388;189,8402405;3D
Fail;02/06/2057;20:39:28;4,5199742;-51,8761597;3D
Fail;05/06/2057;00:38:24;4,5113726;-105,5088501;3D
Fail;18/03/2064;07:49:20;37,1080818;-48,4687996;2D
Fail;25/12/2067;20:39:28;152,046814;-1,2580736;3D
